x,y,Rx,Ry,Rz
-1.0,-2.0,1.2638707703e-23,5.85877851293e-25,-5.85877851293e-24
-1.0,-1.95,1.44193759456e-23,6.24508133577e-25,-6.08895430239e-24
-1.0,-1.9,1.64202472383e-23,6.62597119769e-25,-6.29467263781e-24
-1.0,-1.85,1.86574531466e-23,6.99300767331e-25,-6.46853209782e-24
-1.0,-1.8,2.11452590442e-23,7.33629554166e-25,-6.6026659875e-24
-1.0,-1.75,2.38956442391e-23,7.6446490778e-25,-6.68906794307e-24
-1.0,-1.7,2.69188519912e-23,7.90602842303e-25,-6.72012415957e-24
-1.0,-1.65,3.02265455336e-23,8.10846256444e-25,-6.68948161566e-24
-1.0,-1.6,3.38414731146e-23,8.24187429569e-25,-6.59349943656e-24
-1.0,-1.55,3.78230347477e-23,8.30162054244e-25,-6.43375592039e-24
-1.0,-1.5,4.23306793561e-23,8.29514453635e-25,-6.22135840227e-24
-1.0,-1.45,4.77663085615e-23,8.25230972818e-25,-5.98292455294e-24
-1.0,-1.4,5.49846024943e-23,8.22537647286e-25,-5.75776353099e-24
-1.0,-1.35,6.49327288295e-23,8.19354351642e-25,-5.53064187358e-24
-1.0,-1.3,7.62181271186e-23,7.84065763106e-25,-5.09642746017e-24
-1.0,-1.25,8.1656553685e-23,7.0804438423e-25,-4.42527740144e-24
-1.0,-1.2,8.03658020768e-23,5.65437387422e-25,-3.39262432451e-24
-1.0,-1.15,7.72479880729e-23,4.15433935486e-25,-2.38874512901e-24
-1.0,-1.1,7.34818907606e-23,2.73329660286e-25,-1.50331313163e-24
-1.0,-1.05,6.88580899204e-23,1.43217845481e-25,-7.51893688766e-25
-1.0,-1.0,6.30581912881e-23,2.96017915963e-26,-1.48008957996e-25
-1.0,-0.95,5.59719603564e-23,-6.19198471432e-26,2.94119273862e-25
-1.0,-0.9,4.77960135298e-23,-1.26406598302e-25,5.68829692354e-25
-1.0,-0.85,3.91054840079e-23,-1.62082239201e-25,6.88849516577e-25
-1.0,-0.8,3.09223874434e-23,-1.73338659918e-25,6.93354639657e-25
-1.0,-0.75,2.47660523931e-23,-1.74014308333e-25,6.52553656249e-25
-1.0,-0.7,2.26602515132e-23,-1.90467534112e-25,6.66636369383e-25
-1.0,-0.65,2.7068338845e-23,-2.63654506594e-25,8.56877146429e-25
-1.0,-0.6,4.07301585962e-23,-4.49166779095e-25,1.3475003373e-24
-1.0,-0.55,6.63845267079e-23,-8.14109944549e-25,2.23880234749e-24
-1.0,-0.5,1.06379972688e-22,-1.42994925002e-24,3.57487312505e-24
-1.0,-0.45,1.62203301857e-22,-2.36111168934e-24,5.31250130106e-24
-1.0,-0.4,2.33986574528e-22,-3.65021561012e-24,7.30043122024e-24
-1.0,-0.35,3.20081528099e-22,-5.30213588272e-24,9.27873779472e-24
-1.0,-0.3,4.16807505829e-22,-7.2703634085e-24,1.09055451127e-23
-1.0,-0.25,5.18475539058e-22,-9.44980905433e-24,1.1812261318e-23
-1.0,-0.2,6.17760392159e-22,-1.16798542623e-23,1.16798542622e-23
-1.0,-0.15,7.06432267783e-22,-1.37597670329e-23,1.03198252747e-23
-1.0,-0.1,7.76377234854e-22,-1.54756829616e-23,7.73784148078e-24
-1.0,-0.05,8.20748300856e-22,-1.66348441642e-23,4.15871104106e-24
-1.0,0.0,8.35025398041e-22,-1.70998421588e-23,3.50297316545e-36
-0.95,-2.0,1.28372172649e-23,6.99000878734e-25,-6.99000878734e-24
-0.95,-1.95,1.47406958908e-23,7.53105644349e-25,-7.3427800324e-24
-0.95,-1.9,1.69022637173e-23,8.0836763467e-25,-7.67949252937e-24
-0.95,-1.85,1.93463850986e-23,8.6395781123e-25,-7.99160975387e-24
-0.95,-1.8,2.20964908045e-23,9.18835878217e-25,-8.26952290396e-24
-0.95,-1.75,2.51739966707e-23,9.7174205604e-25,-8.50274299035e-24
-0.95,-1.7,2.85975753422e-23,1.02120875678e-24,-8.68027443267e-24
-0.95,-1.65,3.23835081445e-23,1.06560944153e-24,-8.79127789265e-24
-0.95,-1.6,3.65491283786e-23,1.10327733029e-24,-8.82621864233e-24
-0.95,-1.55,4.11242264341e-23,1.13275876954e-24,-8.77888046393e-24
-0.95,-1.5,4.61822530205e-23,1.15333181039e-24,-8.64998857796e-24
-0.95,-1.45,5.19191580355e-23,1.16602693635e-24,-8.45369528847e-24
-0.95,-1.4,5.88325511536e-23,1.17531995232e-24,-8.22723966627e-24
-0.95,-1.35,6.79889186221e-23,1.18960444324e-24,-8.02982999183e-24
-0.95,-1.3,8.05808916217e-23,1.207851531e-24,-7.85103495147e-24
-0.95,-1.25,9.49519351e-23,1.18712927111e-24,-7.41955794446e-24
-0.95,-1.2,1.01983191961e-22,1.09847493106e-24,-6.59084958636e-24
