z,layer
-1.0,-9.90132585698e-25
-0.9,-8.76321758193e-25
-0.8,-6.7632223716e-25
-0.7,-4.18803285312e-25
-0.6,-1.66645351095e-25
-0.5,-1.21583177747e-26
-0.4,-5.57199038945e-26
-0.3,-3.68742056358e-25
-0.2,-9.53667194976e-25
-0.1,-1.72414071515e-24
