z,layer
-1.0,-6.83814229281e-25
-0.9,-5.82962139188e-25
-0.8,-4.35018901667e-25
-0.7,-2.66622123477e-25
-0.6,-1.22004081721e-25
-0.5,-5.62359682289e-26
-0.4,-1.2097457403e-25
-0.3,-3.45490731663e-25
-0.2,-7.20146180793e-25
-0.1,-1.19165205295e-24
