z,layer
-1.0,-9.75628636026e-25
-0.9,-8.62086121514e-25
-0.8,-6.64278008911e-25
-0.7,-4.10931548507e-25
-0.6,-1.64148083012e-25
-0.5,-1.44130031481e-26
-0.4,-5.95025041358e-26
-0.3,-3.68388241408e-25
-0.2,-9.42609586632e-25
-0.1,-1.69745301508e-24
