x,y,result
-0.4,-1.5,219.442384346
-0.3,-1.5,224.517880377
-0.2,-1.5,228.217859695
-0.1,-1.5,230.736961609
0.0,-1.5,232.220007946
0.1,-1.5,232.714241448
0.2,-1.5,232.220007946
0.3,-1.5,230.736961609
0.4,-1.5,228.217859695
0.5,-1.5,224.517880377
0.6,-1.5,219.442384346
0.7,-1.5,212.855565138
0.8,-1.5,204.760261414
0.9,-1.5,195.312090317
1.0,-1.5,184.783602476
1.1,-1.5,173.508906982
1.2,-1.5,161.831614917
1.3,-1.5,150.066916755
1.4,-1.5,138.479743757
1.5,-1.5,127.276368625
1.6,-1.5,116.605320866
1.7,-1.5,106.563720829
1.8,-1.5,97.2060463336
1.9,-1.5,88.5533512925
2.0,-1.5,80.6017948453
2.1,-1.5,73.3299409573
2.2,-1.5,66.7046723139
2.3,-1.5,60.6857801962
2.4,-1.5,55.2293971044
2.5,-1.5,50.2904743599
2.6,-1.5,45.8245035155
2.7,-1.5,41.7886581498
2.8,-1.5,38.1425035292
2.9,-1.5,34.848392279
3.0,-1.5,31.8716378256
-1.0,-1.4,187.72814795
-0.9,-1.4,203.240416407
-0.8,-1.4,218.506436452
-0.7,-1.4,233.031009179
-0.6,-1.4,246.292384741
-0.5,-1.4,257.818679594
-0.4,-1.4,267.283779266
-0.3,-1.4,274.590236368
-0.2,-1.4,279.883686047
-0.1,-1.4,283.450811874
0.0,-1.4,285.535518929
0.1,-1.4,286.228869356
0.2,-1.4,285.535518929
0.3,-1.4,283.450811874
0.4,-1.4,279.883686047
0.5,-1.4,274.590236368
0.6,-1.4,267.283779266
0.7,-1.4,257.818679594
0.8,-1.4,246.292384741
0.9,-1.4,233.031009179
1.0,-1.4,218.506436452
1.1,-1.4,203.240416407
1.2,-1.4,187.72814795
1.3,-1.4,172.391486523
1.4,-1.4,157.558926986
1.5,-1.4,143.464620819
1.6,-1.4,130.25849401
1.7,-1.4,118.021299198
1.8,-1.4,106.780567203
1.9,-1.4,96.5252102593
2.0,-1.4,87.2177821394
2.1,-1.4,78.8041689163
2.2,-1.4,71.2208946799
2.3,-1.4,64.4004046076
2.4,-1.4,58.2747304546
2.5,-1.4,52.7779165561
2.6,-1.4,47.8475280792
2.7,-1.4,43.4255000227
2.8,-1.4,39.4585265015
2.9,-1.4,35.8981397187
3.0,-1.4,32.7005877363
-1.0,-1.3,218.314203885
-0.9,-1.3,239.031147617
-0.8,-1.3,259.869732519
-0.7,-1.3,280.136287684
-0.6,-1.3,299.033976584
-0.5,-1.3,315.766376634
-0.4,-1.3,329.694026035
-0.3,-1.3,340.504139091
-0.2,-1.3,348.299705445
-0.1,-1.3,353.492135974
0.0,-1.3,356.497330946
0.1,-1.3,357.493772469
0.2,-1.3,356.497330946
0.3,-1.3,353.492135974
0.4,-1.3,348.299705445
0.5,-1.3,340.504139091
0.6,-1.3,329.694026035
0.7,-1.3,315.766376634
0.8,-1.3,299.033976584
0.9,-1.3,280.136287684
1.0,-1.3,259.869732519
1.1,-1.3,239.031147617
1.2,-1.3,218.314203885
1.3,-1.3,198.260866944
1.4,-1.3,179.253674367
1.5,-1.3,161.532004384
1.6,-1.3,145.218913588
1.7,-1.3,130.349867973
1.8,-1.3,116.898714057
1.9,-1.3,104.798987617
2.0,-1.3,93.9602680434
2.1,-1.3,84.2800851565
2.2,-1.3,75.6521844079
2.3,-1.3,67.9719847805
2.4,-1.3,61.1399671324
2.5,-1.3,55.0635922495
2.6,-1.3,49.6582096428
2.7,-1.3,44.8472982435
2.8,-1.3,40.5622838197
2.9,-1.3,36.7421042196
3.0,-1.3,33.3326390116
-1.0,-1.2,254.27671337
-0.9,-1.2,282.055198937
-0.8,-1.2,310.700947796
-0.7,-1.2,339.282788784
-0.6,-1.2,366.619112133
-0.5,-1.2,391.399373378
-0.4,-1.2,412.42116942
-0.3,-1.2,428.91035085
-0.2,-1.2,440.78127754
-0.1,-1.2,448.589481901
0.0,-1.2,453.050850336
0.1,-1.2,454.523198727
0.2,-1.2,453.050850337
0.3,-1.2,448.589481901
0.4,-1.2,440.78127754
0.5,-1.2,428.91035085
0.6,-1.2,412.42116942
0.7,-1.2,391.399373378
0.8,-1.2,366.619112133
0.9,-1.2,339.282788784
1.0,-1.2,310.700947796
1.1,-1.2,282.055198937
1.2,-1.2,254.27671337
1.3,-1.2,228.016930732
1.4,-1.2,203.673392597
1.5,-1.2,181.439691509
1.6,-1.2,161.359676713
1.7,-1.2,143.375705274
1.8,-1.2,127.367145324
1.9,-1.2,113.178892593
2.0,-1.2,100.641266945
2.1,-1.2,89.5831371538
2.2,-1.2,79.8400480609
2.3,-1.2,71.2588306448
2.4,-1.2,63.6998369379
2.5,-1.2,57.0376358642
2.6,-1.2,51.1607589252
2.7,-1.2,45.9708974751
2.8,-1.2,41.381817531
2.9,-1.2,37.3181626311
3.0,-1.2,33.7142498948
-1.0,-1.1,296.21376124
-0.9,-1.1,333.539610626
-0.8,-1.1,373.130603659
-0.7,-1.1,413.821891325
-0.6,-1.1,453.937050304
-0.5,-1.1,491.385592495
-0.4,-1.1,523.980332114
-0.3,-1.1,549.99514368
-0.2,-1.1,568.785386732
-0.1,-1.1,580.991956887
0.0,-1.1,587.849968669
0.1,-1.1,590.096922131
0.2,-1.1,587.849968669
0.3,-1.1,580.991956887
0.4,-1.1,568.785386732
0.5,-1.1,549.99514368
0.6,-1.1,523.980332114
0.7,-1.1,491.385592495
0.8,-1.1,453.937050304
0.9,-1.1,413.821891325
1.0,-1.1,373.130603659
1.1,-1.1,333.539610626
1.2,-1.1,296.21376124
1.3,-1.1,261.844702245
1.4,-1.1,230.748507125
1.5,-1.1,202.973647651
1.6,-1.1,178.395307911
1.7,-1.1,156.78811829
1.8,-1.1,137.877712663
1.9,-1.1,121.374841091
2.0,-1.1,106.99644119
2.1,-1.1,94.4775795209
2.2,-1.1,83.5773251531
2.3,-1.1,74.0807815698
2.4,-1.1,65.7988149459
2.5,-1.1,58.5664998083
2.6,-1.1,52.2409358969
2.7,-1.1,46.6988393385
2.8,-1.1,41.8341453006
2.9,-1.1,37.5557524275
3.0,-1.1,33.7854724197
-1.0,-1.0,344.453005056
-0.9,-1.0,394.584493729
-0.8,-1.0,449.469504565
-0.7,-1.0,507.835621381
-0.6,-1.0,567.475373375
-0.5,-1.0,625.20341852
-0.4,-1.0,677.176655599
-0.3,-1.0,719.764816145
-0.2,-1.0,750.867358594
-0.1,-1.0,770.865585414
0.0,-1.0,781.860888125
0.1,-1.0,785.422837235
0.2,-1.0,781.860888125
0.3,-1.0,770.865585414
0.4,-1.0,750.867358594
0.5,-1.0,719.764816145
0.6,-1.0,677.176655599
0.7,-1.0,625.20341852
0.8,-1.0,567.475373375
0.9,-1.0,507.835621381
1.0,-1.0,449.469504565
1.1,-1.0,394.584493729
1.2,-1.0,344.453005056
1.3,-1.0,299.614188007
1.4,-1.0,260.103284527
1.5,-1.0,225.647326562
1.6,-1.0,195.809754081
1.7,-1.0,170.087430734
1.8,-1.0,147.970602765
1.9,-1.0,128.976783375
2.0,-1.0,112.667539979
2.1,-1.0,98.6547206286
2.2,-1.0,86.6005518228
2.3,-1.0,76.2144618712
2.4,-1.0,67.2483880281
2.5,-1.0,59.4916021858
2.6,-1.0,52.765630218
2.7,-1.0,46.9195575712
2.8,-1.0,41.8258459563
2.9,-1.0,37.3766904874
3.0,-1.0,33.4808954176
-1.0,-0.9,398.739099101
-0.9,-0.9,465.802736285
-0.8,-0.9,541.866056369
-0.7,-0.9,625.959785931
-0.6,-0.9,715.577921265
-0.5,-0.9,806.233516967
-0.4,-0.9,891.488275594
-0.3,-0.9,964.042890327
-0.2,-0.9,1018.23688507
-0.1,-0.9,1052.92624551
0.0,-0.9,1071.49580834
0.1,-0.9,1077.40468999
0.2,-0.9,1071.49580834
0.3,-0.9,1052.92624551
0.4,-0.9,1018.23688507
0.5,-0.9,964.042890327
0.6,-0.9,891.488275594
0.7,-0.9,806.233516967
0.8,-0.9,715.577921265
0.9,-0.9,625.959785931
1.0,-0.9,541.866056369
1.1,-0.9,465.802736285
1.2,-0.9,398.7390991
1.3,-0.9,340.634147599
1.4,-0.9,290.872673569
1.5,-0.9,248.570437917
1.6,-0.9,212.764843768
1.7,-0.9,182.522494056
1.8,-0.9,156.992545497
1.9,-0.9,135.4273952
2.0,-0.9,117.185093959
2.1,-0.9,101.722450501
2.2,-0.9,88.5841032822
2.3,-0.9,77.3904958362
2.4,-0.9,67.8262763766
2.5,-0.9,59.6298214409
2.6,-0.9,52.5841276136
2.7,-0.9,46.5090763272
2.8,-0.9,41.2549623288
2.9,-0.9,36.697131186
3.0,-0.9,32.7315626513
-1.0,-0.8,457.727650445
-0.9,-0.8,546.661399849
-0.8,-0.8,651.544996955
-0.7,-0.8,772.706687409
-0.6,-0.8,908.288194775
-0.5,-0.8,1052.91589953
-0.4,-0.8,1196.65387622
-0.3,-0.8,1325.56065076
-0.2,-0.8,1425.65525302
-0.1,-0.8,1490.19153006
0.0,-0.8,1523.69407655
0.1,-0.8,1534.05324873
0.2,-0.8,1523.69407655
0.3,-0.8,1490.19153006
0.4,-0.8,1425.65525302
0.5,-0.8,1325.56065076
0.6,-0.8,1196.65387622
0.7,-0.8,1052.91589953
0.8,-0.8,908.288194775
0.9,-0.8,772.706687409
1.0,-0.8,651.544996955
1.1,-0.8,546.661399849
1.2,-0.8,457.727650445
1.3,-0.8,383.288420268
1.4,-0.8,321.451789594
1.5,-0.8,270.281493943
1.6,-0.8,227.991123678
1.7,-0.8,193.02132397
1.8,-0.8,164.054135856
1.9,-0.8,139.997042917
2.0,-0.8,119.954888761
2.1,-0.8,103.199100495
2.2,-0.8,89.1386879051
2.3,-0.8,77.294810616
2.4,-0.8,67.2793432662
2.5,-0.8,58.7772304186
2.6,-0.8,51.532167249
2.7,-0.8,45.3350784669
2.8,-0.8,40.0148937393
2.9,-0.8,35.4311794114
3.0,-0.8,31.4682568366
-1.0,-0.7,518.216171827
-0.9,-0.7,634.36456345
-0.8,-0.7,777.307723353
-0.7,-0.7,950.731206954
-0.6,-0.7,1155.97915995
-0.5,-0.7,1389.18895629
-0.4,-0.7,1637.51312962
-0.3,-0.7,1876.49129157
-0.2,-0.7,2073.75397974
-0.1,-0.7,2204.56448554
0.0,-0.7,2270.47217528
0.1,-0.7,2289.9295337
0.2,-0.7,2270.47217528
0.3,-0.7,2204.56448554
0.4,-0.7,2073.75397974
0.5,-0.7,1876.49129157
0.6,-0.7,1637.51312962
0.7,-0.7,1389.18895629
0.8,-0.7,1155.97915995
0.9,-0.7,950.731206954
1.0,-0.7,777.307723353
1.1,-0.7,634.36456345
1.2,-0.7,518.216171827
1.3,-0.7,424.531473796
1.4,-0.7,349.176192913
1.5,-0.7,288.551219058
1.6,-0.7,239.671098135
1.7,-0.7,200.125121734
1.8,-0.7,167.99562975
1.9,-0.7,141.769087015
2.0,-0.7,120.25492896
2.1,-0.7,102.517086201
2.2,-0.7,87.8185374854
2.3,-0.7,75.5774338758
2.4,-0.7,65.3328260746
2.5,-0.7,56.7180770317
2.6,-0.7,49.4402997255
2.7,-0.7,43.2644637111
2.8,-0.7,38.0010967779
2.9,-0.7,33.4967472293
3.0,-0.7,29.6265648927
-1.0,-0.6,574.063507089
-0.9,-0.6,722.09985848
-0.8,-0.6,912.840887801
-0.7,-0.6,1157.07193272
-0.6,-0.6,1465.02793866
-0.5,-0.6,1841.80673868
-0.4,-0.6,2278.48562471
-0.3,-0.6,2739.60237111
-0.2,-0.6,3156.50671804
-0.1,-0.6,3450.6810678
0.0,-0.6,3596.44297493
0.1,-0.6,3636.39866267
0.2,-0.6,3596.44297493
0.3,-0.6,3450.6810678
0.4,-0.6,3156.50671804
0.5,-0.6,2739.60237111
0.6,-0.6,2278.48562471
0.7,-0.6,1841.80673868
0.8,-0.6,1465.02793866
0.9,-0.6,1157.07193272
1.0,-0.6,912.840887801
1.1,-0.6,722.09985848
1.2,-0.6,574.063507089
1.3,-0.6,459.248840208
1.4,-0.6,369.957987667
1.5,-0.6,300.186142066
1.6,-0.6,245.342430201
1.7,-0.6,201.949375045
1.8,-0.6,167.380630232
1.9,-0.6,139.650943894
2.0,-0.6,117.254853236
2.1,-0.6,99.0454315127
2.2,-0.6,84.1440940696
2.3,-0.6,71.8737859263
2.4,-0.6,61.7095044385
2.5,-0.6,53.2415819491
2.6,-0.6,46.1483384783
2.7,-0.6,40.175619451
2.8,-0.6,35.121405401
2.9,-0.6,30.8241721801
3.0,-0.6,27.1540372069
-1.0,-0.5,614.84768106
-0.9,-0.5,796.552285708
-0.8,-0.5,1042.33612269
-0.7,-0.5,1375.92027239
-0.6,-0.5,1827.17214884
-0.5,-0.5,2428.27487428
-0.4,-0.5,3199.8790818
-0.3,-0.5,4118.12651394
-0.2,-0.5,5063.8468201
-0.1,-0.5,5811.91600107
0.0,-0.5,6191.14655245
0.1,-0.5,6283.91291242
0.2,-0.5,6191.14655245
0.3,-0.5,5811.91600107
0.4,-0.5,5063.8468201
0.5,-0.5,4118.12651394
0.6,-0.5,3199.8790818
0.7,-0.5,2428.27487428
0.8,-0.5,1827.17214884
0.9,-0.5,1375.92027239
1.0,-0.5,1042.33612268
1.1,-0.5,796.552285708
1.2,-0.5,614.84768106
1.3,-0.5,479.573406807
1.4,-0.5,377.969662999
1.5,-0.5,300.911798876
1.6,-0.5,241.885026835
1.7,-0.5,196.221365965
1.8,-0.5,160.554610362
1.9,-0.5,132.437919286
2.0,-0.5,110.077134252
2.1,-0.5,92.1447321539
2.2,-0.5,77.6495066878
2.3,-0.5,65.8447210472
2.4,-0.5,56.162896538
2.5,-0.5,48.1691407153
2.6,-0.5,41.5274661471
2.7,-0.5,35.9762798948
2.8,-0.5,31.3103981741
2.9,-0.5,27.3677412758
3.0,-0.5,24.0194125333
-1.0,-0.4,624.618838427
-0.9,-0.4,834.972496817
-0.8,-0.4,1134.28717101
-0.7,-0.4,1566.37706837
-0.6,-0.4,2197.16787587
-0.5,-0.4,3121.46258024
-0.4,-0.4,4459.26149146
-0.3,-0.4,6309.19343511
-0.2,-0.4,8591.3606208
-0.1,-0.4,10776.0851217
0.0,-0.4,12013.6093439
0.1,-0.4,12274.0441947
0.2,-0.4,12013.6093439
0.3,-0.4,10776.0851217
0.4,-0.4,8591.3606208
0.5,-0.4,6309.19343511
0.6,-0.4,4459.26149146
0.7,-0.4,3121.46258024
0.8,-0.4,2197.16787587
0.9,-0.4,1566.37706837
1.0,-0.4,1134.28717101
1.1,-0.4,834.972496817
1.2,-0.4,624.618838427
1.3,-0.4,474.472940719
1.4,-0.4,365.62417824
1.5,-0.4,285.520114382
1.6,-0.4,225.723868829
1.7,-0.4,180.485480376
1.8,-0.4,145.829954151
1.9,-0.4,118.970380822
2.0,-0.4,97.9260232184
2.1,-0.4,81.2706485194
2.2,-0.4,67.9645068564
2.3,-0.4,57.2406768685
2.4,-0.4,48.5271934757
2.5,-0.4,41.3930252978
2.6,-0.4,35.510147365
2.7,-0.4,30.6266081962
2.8,-0.4,26.5471951046
2.9,-0.4,23.1194098292
3.0,-0.4,20.2231955103
-1.0,-0.3,581.954210867
-0.9,-0.3,803.369900174
-0.8,-0.3,1135.11170418
-0.7,-0.3,1645.62399804
-0.6,-0.3,2453.44692371
-0.5,-0.3,3766.49917175
-0.4,-0.3,5944.57475809
-0.3,-0.3,9557.80468999
-0.2,-0.3,15232.9857265
-0.1,-0.3,22564.1982491
0.0,-0.3,28049.4784458
0.1,-0.3,29098.0094828
0.2,-0.3,28049.4784458
0.3,-0.3,22564.1982491
0.4,-0.3,15232.9857265
0.5,-0.3,9557.80468999
0.6,-0.3,5944.57475809
0.7,-0.3,3766.49917175
0.8,-0.3,2453.44692371
0.9,-0.3,1645.62399804
1.0,-0.3,1135.11170418
1.1,-0.3,803.369900174
1.2,-0.3,581.954210867
1.3,-0.3,430.45780702
1.4,-0.3,324.418115709
1.5,-0.3,248.645027255
1.6,-0.3,193.473587599
1.7,-0.3,152.611873263
1.8,-0.3,121.875660835
1.9,-0.3,98.4270180757
2.0,-0.3,80.3058012514
2.1,-0.3,66.1352351804
2.2,-0.3,54.93319033
2.3,-0.3,45.9889498356
2.4,-0.3,38.7813367789
2.5,-0.3,32.9234354646
2.6,-0.3,28.124702259
2.7,-0.3,24.1646279008
2.8,-0.3,20.8741873307
2.9,-0.3,18.1226127339
3.0,-0.3,15.807852886
-1.0,-0.2,464.431624121
-0.9,-0.2,661.017011201
-0.8,-0.2,970.632393984
-0.7,-0.2,1478.29064254
-0.6,-0.2,2350.37752282
-0.5,-0.2,3931.12463275
-0.4,-0.2,6974.54860048
-0.3,-0.2,13209.3609561
-0.2,-0.2,26538.1771939
-0.1,-0.2,53435.6591098
0.0,-0.2,88757.0704137
0.1,-0.2,98244.1677402
0.2,-0.2,88757.0704137
0.3,-0.2,53435.6591098
0.4,-0.2,26538.1771939
0.5,-0.2,13209.3609561
0.6,-0.2,6974.54860048
0.7,-0.2,3931.12463275
0.8,-0.2,2350.37752282
0.9,-0.2,1478.29064254
1.0,-0.2,970.632393984
1.1,-0.2,661.017011201
1.2,-0.2,464.431624121
1.3,-0.2,335.190030813
1.4,-0.2,247.61084068
1.5,-0.2,186.671555709
1.6,-0.2,143.269468271
1.7,-0.2,111.713655022
1.8,-0.2,88.3456646783
1.9,-0.2,70.7542557874
2.0,-0.2,57.3141937765
2.1,-0.2,46.9076499899
2.2,-0.2,38.7515636962
2.3,-0.2,32.2881594216
2.4,-0.2,27.1140342116
2.5,-0.2,22.9333309661
2.6,-0.2,19.5262636105
2.7,-0.2,16.7276128713
2.8,-0.2,14.4118110149
2.9,-0.2,12.4824512706
3.0,-0.2,10.8648131164
-1.0,-0.1,262.424964472
-0.9,-0.1,382.44354888
-0.8,-0.1,579.260822258
-0.7,-0.1,919.732698289
-0.6,-0.1,1548.89974323
-0.5,-0.1,2812.60559482
-0.4,-0.1,5639.71196055
-0.3,-0.1,12933.2955749
-0.2,-0.1,35640.0304793
-0.1,-0.1,122447.859118
0.0,-0.1,408532.309868
0.1,-0.1,787615.454031
0.2,-0.1,408532.309868
0.3,-0.1,122447.859118
0.4,-0.1,35640.0304793
0.5,-0.1,12933.2955749
0.6,-0.1,5639.71196055
0.7,-0.1,2812.60559482
0.8,-0.1,1548.89974323
0.9,-0.1,919.732698289
1.0,-0.1,579.260822258
1.1,-0.1,382.44354888
1.2,-0.1,262.424964472
1.3,-0.1,185.940876952
1.4,-0.1,135.366185931
1.5,-0.1,100.857751887
1.6,-0.1,76.6676297183
1.7,-0.1,59.3082281598
1.8,-0.1,46.5919386508
1.9,-0.1,37.1060609535
2.0,-0.1,29.9145731672
2.1,-0.1,24.3829602666
2.2,-0.1,20.0722105526
2.3,-0.1,16.6729367127
2.4,-0.1,13.9634410377
2.5,-0.1,11.7824379189
2.6,-0.1,10.0109581466
2.7,-0.1,8.56012701387
2.8,-0.1,7.36277280937
2.9,-0.1,6.3675775055
3.0,-0.1,5.53494224138
