z,layer
-3.0,-2.71100251347e-25
-2.9,-3.11425598546e-25
-2.8,-3.58266661498e-25
-2.7,-4.12732560447e-25
-2.6,-4.76127838676e-25
-2.5,-5.49989075656e-25
-2.4,-6.36129856298e-25
-2.3,-7.36696834829e-25
-2.2,-8.5424075782e-25
-2.1,-9.91807839517e-25
-2.0,-1.15305884991e-24
-1.9,-1.34242559777e-24
-1.8,-1.56531680564e-24
-1.7,-1.82838673251e-24
-1.6,-2.13987816729e-24
-1.5,-2.51004209181e-24
-1.4,-2.94867547623e-24
-1.3,-3.37935621688e-24
-1.2,-3.70910380715e-24
-1.1,-3.85354980999e-24
-1.0,-3.72854713114e-24
-0.9,-3.27847012929e-24
-0.8,-2.51425349244e-24
-0.7,-1.55112240089e-24
-0.6,-6.27849050691e-25
-0.5,-8.45767099441e-26
-0.4,-2.81863873855e-25
-0.3,-1.4673993487e-24
-0.2,-3.63736666087e-24
-0.1,-6.4724881666e-24
