z,result
-1.0,5.30671992615
-0.95,6.02677814269
-0.9,6.85821364193
-0.85,7.82467051067
-0.8,8.95818177566
-0.75,10.3035811656
-0.7,11.9257419854
-0.65,13.9217446808
-0.6,16.4419250458
-0.55,19.727572849
-0.5,24.1813681012
-0.45,30.505929572
-0.4,39.993950529
-0.35,55.1841800371
-0.3,81.4924356973
-0.25,131.785567914
-0.2,241.388091012
-0.15,528.914916012
-0.1,1525.04347263
-0.05,6614.06605297
0.0,nan
