x,y,result
-1.0,-2.0,-0.000397167764608
-0.9,-2.0,-0.000421868250026
-0.8,-2.0,-0.00043808212759
-0.7,-2.0,-0.000442665372155
-0.6,-2.0,-0.000432564022511
-0.5,-2.0,-0.000405209488126
-0.4,-2.0,-0.000358964434511
-0.3,-2.0,-0.000293543789153
-0.2,-2.0,-0.000210315887405
-0.1,-2.0,-0.000112392370274
0.0,-2.0,-4.44859369072e-06
0.1,-2.0,0.00010772528015
0.2,-2.0,0.000217874816107
0.3,-2.0,0.000320011964363
0.4,-2.0,0.00040908391655
0.5,-2.0,0.000481458364847
0.6,-2.0,0.000535155461374
0.7,-2.0,0.000569821065929
0.8,-2.0,0.000586490952858
0.9,-2.0,0.000587227285322
1.0,-2.0,0.000574713632646
1.1,-2.0,0.000551879132651
1.2,-2.0,0.000521596435323
1.3,-2.0,0.00048647156902
1.4,-2.0,0.000448723156318
1.5,-2.0,0.000410135814559
1.6,-2.0,0.00037206748444
1.7,-2.0,0.000335490731957
1.8,-2.0,0.000301051397342
1.9,-2.0,0.000269132394811
2.0,-2.0,0.000239914751671
-1.0,-1.9,-0.000524841639756
-0.9,-1.9,-0.000564577471536
-0.8,-1.9,-0.000593505601376
-0.7,-1.9,-0.000606737067738
-0.6,-1.9,-0.000599322144177
-0.5,-1.9,-0.000566887655111
-0.4,-1.9,-0.00050640041802
-0.3,-1.9,-0.000416928381258
-0.2,-1.9,-0.000300222845735
-0.1,-1.9,-0.000160940132729
0.0,-1.9,-6.37732080389e-06
0.1,-1.9,0.000154290580439
0.2,-1.9,0.000311148206782
0.3,-1.9,0.000454818320846
0.4,-1.9,0.000577607831104
0.5,-1.9,0.000674294213006
0.6,-1.9,0.000742435913722
0.7,-1.9,0.000782220065014
0.8,-1.9,0.000795963567891
0.9,-1.9,0.000787432722789
1.0,-1.9,0.000761141147304
1.1,-1.9,0.000721743520746
1.2,-1.9,0.000673587401008
1.3,-1.9,0.000620436015263
1.4,-1.9,0.00056534137396
1.5,-1.9,0.000510630704364
1.6,-1.9,0.000457966363914
1.7,-1.9,0.000408444734241
1.8,-1.9,0.000362708364468
1.9,-1.9,0.000321054598358
2.0,-1.9,0.000283531392199
-1.0,-1.8,-0.000698457166297
-0.9,-1.8,-0.000762039087139
-0.8,-1.8,-0.000812218068328
-0.7,-1.8,-0.000841356358215
-0.6,-1.8,-0.000841364238328
-0.5,-1.8,-0.000804724091069
-0.4,-1.8,-0.000725808720706
-0.3,-1.8,-0.000602278424969
-0.2,-1.8,-0.000436225045022
-0.1,-1.8,-0.000234694493046
0.0,-1.8,-9.31186596119e-06
0.1,-1.8,0.000225044310299
0.2,-1.8,0.000452287327506
0.3,-1.8,0.00065742229535
0.4,-1.8,0.000828557203361
0.5,-1.8,0.000958190351415
0.6,-1.8,0.00104358206185
0.7,-1.8,0.00108628669523
0.8,-1.8,0.00109111345918
0.9,-1.8,0.0010648531139
1.0,-1.8,0.00101506485291
1.1,-1.8,0.000949112364876
1.2,-1.8,0.000873523390206
1.3,-1.8,0.000793658375038
1.4,-1.8,0.000713623657787
1.5,-1.8,0.000636348767689
1.6,-1.8,0.000563754156355
1.7,-1.8,0.000496953052598
1.8,-1.8,0.000436450450826
1.9,-1.8,0.000382318756779
2.0,-1.8,0.000334341616829
-1.0,-1.7,-0.000935978404139
-0.9,-1.7,-0.00103749729946
-0.8,-1.7,-0.00112319087968
-0.7,-1.7,-0.00118109551171
-0.6,-1.7,-0.00119788673431
-0.5,-1.7,-0.0011605058876
-0.4,-1.7,-0.0010584497374
-0.3,-1.7,-0.000886373604034
-0.2,-1.7,-0.00064638091294
-0.1,-1.7,-0.000349235913111
0.0,-1.7,-1.38772004528e-05
0.1,-1.7,0.000334942180063
0.2,-1.7,0.000670446388455
0.3,-1.7,0.000968103376186
0.4,-1.7,0.00120924618181
0.5,-1.7,0.00138319387909
0.6,-1.7,0.00148756673002
0.7,-1.7,0.00152705767244
0.8,-1.7,0.00151128107352
0.9,-1.7,0.00145238943316
1.0,-1.7,0.0013629929344
1.1,-1.7,0.00125466555758
1.2,-1.7,0.00113709038021
1.3,-1.7,0.00101774585137
1.4,-1.7,0.000901971165896
1.5,-1.7,0.000793249060447
1.6,-1.7,0.000693577948259
1.7,-1.7,0.00060384811299
1.8,-1.7,0.00052417468924
1.9,-1.7,0.000454167939036
2.0,-1.7,0.00039313872106
-1.0,-1.6,-0.00126270054868
-0.9,-1.6,-0.00142478786689
-0.8,-1.6,-0.00156995765397
-0.7,-1.6,-0.00167948159863
-0.6,-1.6,-0.00173127257474
-0.5,-1.6,-0.00170240135231
