z,layer
-1.0,-9.9058998873e-25
-0.9,-8.76771216538e-25
-0.8,-6.76703016862e-25
-0.7,-4.19052580377e-25
-0.6,-1.66724741052e-25
-0.5,-1.20869885842e-26
-0.4,-5.55995468085e-26
-0.3,-3.68752070539e-25
-0.2,-9.54016051583e-25
-0.1,-1.72498503083e-24
