x,y,result
0.7375,-2.0,1.79308503793e-10
0.75,-2.0,1.78318156918e-10
0.7625,-2.0,1.77314992476e-10
0.775,-2.0,1.76299239593e-10
0.7875,-2.0,1.75271132814e-10
0.8,-2.0,1.74230912043e-10
0.8125,-2.0,1.73178822471e-10
0.825,-2.0,1.72115114494e-10
0.8375,-2.0,1.71040043622e-10
0.85,-2.0,1.69953870383e-10
0.8625,-2.0,1.68856860208e-10
0.875,-2.0,1.67749283322e-10
0.8875,-2.0,1.66631414614e-10
0.9,-2.0,1.65503533503e-10
0.9125,-2.0,1.64365923798e-10
0.925,-2.0,1.63218873543e-10
0.9375,-2.0,1.62062674865e-10
0.95,-2.0,1.60897623803e-10
0.9625,-2.0,1.59724020136e-10
0.975,-2.0,1.585421672e-10
0.9875,-2.0,1.57352371705e-10
1.0,-2.0,1.56154943537e-10
1.0125,-2.0,1.54950195558e-10
1.025,-2.0,1.53738443402e-10
1.0375,-2.0,1.5252000526e-10
1.05,-2.0,1.51295201665e-10
1.0625,-2.0,1.50064355269e-10
1.075,-2.0,1.4882779062e-10
1.0875,-2.0,1.47585833925e-10
1.1,-2.0,1.46338812826e-10
1.1125,-2.0,1.45087056156e-10
1.125,-2.0,1.43830893703e-10
1.1375,-2.0,1.42570655967e-10
1.15,-2.0,1.4130667392e-10
1.1625,-2.0,1.40039278757e-10
1.175,-2.0,1.38768801655e-10
1.1875,-2.0,1.37495573527e-10
1.2,-2.0,1.36219924774e-10
1.2125,-2.0,1.34942185041e-10
1.225,-2.0,1.33662682977e-10
1.2375,-2.0,1.32381745986e-10
1.25,-2.0,1.31099699995e-10
1.2625,-2.0,1.29816869206e-10
1.275,-2.0,1.2853357587e-10
1.2875,-2.0,1.27250140048e-10
1.3,-2.0,1.25966879387e-10
1.3125,-2.0,1.24684108893e-10
1.325,-2.0,1.2340214071e-10
1.3375,-2.0,1.22121283905e-10
1.35,-2.0,1.20841844261e-10
1.3625,-2.0,1.19564124066e-10
1.375,-2.0,1.18288421916e-10
1.3875,-2.0,1.17015032523e-10
1.4,-2.0,1.15744246523e-10
1.4125,-2.0,1.14476350302e-10
1.425,-2.0,1.13211625816e-10
1.4375,-2.0,1.11950350424e-10
1.45,-2.0,1.10692796733e-10
1.4625,-2.0,1.09439232441e-10
1.475,-2.0,1.08189920193e-10
1.4875,-2.0,1.06945117442e-10
1.5,-2.0,1.05705076322e-10
1.5125,-2.0,1.04470043527e-10
1.525,-2.0,1.0324026019e-10
1.5375,-2.0,1.02015961786e-10
1.55,-2.0,1.00797378028e-10
1.5625,-2.0,9.95847327797e-11
1.575,-2.0,9.83782439745e-11
1.5875,-2.0,9.71781235392e-11
1.6,-2.0,9.59845773304e-11
1.6125,-2.0,9.47978050766e-11
1.625,-2.0,9.36180003281e-11
1.6375,-2.0,9.24453504152e-11
1.65,-2.0,9.12800364146e-11
1.6625,-2.0,9.01222331226e-11
1.675,-2.0,8.8972109036e-11
1.6875,-2.0,8.78298263411e-11
1.7,-2.0,8.6695540909e-11
1.7125,-2.0,8.55694022986e-11
1.725,-2.0,8.44515537664e-11
1.7375,-2.0,8.33421322826e-11
1.75,-2.0,8.22412685546e-11
1.7625,-2.0,8.11490870558e-11
1.775,-2.0,8.00657060615e-11
1.7875,-2.0,7.89912376902e-11
1.8,-2.0,7.79257879506e-11
1.8125,-2.0,7.68694567943e-11
1.825,-2.0,7.58223381738e-11
1.8375,-2.0,7.47845201052e-11
1.85,-2.0,7.3756084736e-11
1.8625,-2.0,7.27371084174e-11
1.875,-2.0,7.17276617811e-11
1.8875,-2.0,7.07278098194e-11
1.9,-2.0,6.97376119703e-11
1.9125,-2.0,6.87571222056e-11
1.925,-2.0,6.7786389122e-11
1.9375,-2.0,6.68254560362e-11
1.95,-2.0,6.58743610822e-11
1.9625,-2.0,6.49331373119e-11
1.975,-2.0,6.40018127973e-11
1.9875,-2.0,6.30804107356e-11
2.0,-2.0,6.21689495563e-11
-1.0,-1.9875,1.59789896174e-10
-0.9875,-1.9875,1.61018108861e-10
-0.975,-1.9875,1.62238416474e-10
-0.9625,-1.9875,1.63450500187e-10
-0.95,-1.9875,1.64654044588e-10
-0.9375,-1.9875,1.65848737875e-10
-0.925,-1.9875,1.67034272055e-10
-0.9125,-1.9875,1.68210343128e-10
-0.9,-1.9875,1.69376651271e-10
-0.8875,-1.9875,1.7053290101e-10
-0.875,-1.9875,1.71678801378e-10
-0.8625,-1.9875,1.72814066076e-10
-0.85,-1.9875,1.73938413616e-10
-0.8375,-1.9875,1.75051567462e-10
-0.825,-1.9875,1.76153256154e-10
-0.8125,-1.9875,1.7724321343e-10
-0.8,-1.9875,1.78321178334e-10
-0.7875,-1.9875,1.79386895319e-10
-0.775,-1.9875,1.80440114334e-10
-0.7625,-1.9875,1.81480590909e-10
-0.75,-1.9875,1.82508086224e-10
-0.7375,-1.9875,1.83522367172e-10
-0.725,-1.9875,1.8452320641e-10
-0.7125,-1.9875,1.85510382405e-10
-0.7,-1.9875,1.86483679466e-10
-0.6875,-1.9875,1.87442887765e-10
-0.675,-1.9875,1.88387803358e-10
-0.6625,-1.9875,1.89318228187e-10
-0.65,-1.9875,1.90233970079e-10
-0.6375,-1.9875,1.91134842731e-10
-0.625,-1.9875,1.92020665695e-10
-0.6125,-1.9875,1.92891264347e-10
-0.6,-1.9875,1.93746469853e-10
-0.5875,-1.9875,1.9458611912e-10
-0.575,-1.9875,1.95410054751e-10
-0.5625,-1.9875,1.96218124984e-10
-0.55,-1.9875,1.97010183626e-10
-0.5375,-1.9875,1.97786089983e-10
-0.525,-1.9875,1.9854570878e-10
-0.5125,-1.9875,1.99288910081e-10
-0.5,-1.9875,2.000155692e-10
-0.4875,-1.9875,2.00725566601e-10
-0.475,-1.9875,2.01418787807e-10
-0.4625,-1.9875,2.02095123296e-10
-0.45,-1.9875,2.02754468389e-10
-0.4375,-1.9875,2.03396723147e-10
-0.425,-1.9875,2.04021792252e-10
-0.4125,-1.9875,2.04629584897e-10
-0.4,-1.9875,2.0522001466e-10
-0.3875,-1.9875,2.05792999395e-10
-0.375,-1.9875,2.063484611e-10
-0.3625,-1.9875,2.06886325802e-10
-0.35,-1.9875,2.07406523429e-10
-0.3375,-1.9875,2.07908987691e-10
-0.325,-1.9875,2.08393655952e-10
-0.3125,-1.9875,2.08860469115e-10
-0.3,-1.9875,2.09309371489e-10
-0.2875,-1.9875,2.09740310681e-10
-0.275,-1.9875,2.10153237466e-10
-0.2625,-1.9875,2.10548105678e-10
-0.25,-1.9875,2.10924872091e-10
-0.2375,-1.9875,2.11283496309e-10
-0.225,-1.9875,2.11623940656e-10
-0.2125,-1.9875,2.1194617007e-10
-0.2,-1.9875,2.12250152003e-10
-0.1875,-1.9875,2.12535856318e-10
-0.175,-1.9875,2.12803255203e-10
-0.1625,-1.9875,2.13052323069e-10
-0.15,-1.9875,2.13283036479e-10
-0.1375,-1.9875,2.13495374054e-10
-0.125,-1.9875,2.13689316409e-10
-0.1125,-1.9875,2.13864846075e-10
-0.1,-1.9875,2.14021947438e-10
-0.0875,-1.9875,2.14160606682e-10
-0.075,-1.9875,2.14280811731e-10
-0.0625,-1.9875,2.14382552206e-10
-0.05,-1.9875,2.1446581938e-10
-0.0375,-1.9875,2.14530606148e-10
-0.025,-1.9875,2.14576906993e-10
-0.0125,-1.9875,2.14604717969e-10
0.0,-1.9875,2.14614036679e-10
0.0125,-1.9875,2.14604862271e-10
0.025,-1.9875,2.14577195431e-10
0.0375,-1.9875,2.14531038388e-10
0.05,-1.9875,2.14466394924e-10
0.0625,-1.9875,2.14383270388e-10
0.075,-1.9875,2.14281671723e-10
0.0875,-1.9875,2.14161607489e-10
0.1,-1.9875,2.14023087904e-10
0.1125,-1.9875,2.13866124881e-10
0.125,-1.9875,2.13690732077e-10
0.1375,-1.9875,2.13496924947e-10
0.15,-1.9875,2.13284720802e-10
0.1625,-1.9875,2.13054138874e-10
0.175,-1.9875,2.12805200386e-10
0.1875,-1.9875,2.12537928629e-10
0.2,-1.9875,2.12252349038e-10
0.2125,-1.9875,2.11948489284e-10
0.225,-1.9875,2.11626379359e-10
0.2375,-1.9875,2.11286051672e-10
0.25,-1.9875,2.10927541148e-10
0.2625,-1.9875,2.1055088533e-10
0.275,-1.9875,2.10156124483e-10
0.2875,-1.9875,2.09743301707e-10
0.3,-1.9875,2.09312463047e-10
0.3125,-1.9875,2.08863657607e-10
0.325,-1.9875,2.08396937668e-10
0.3375,-1.9875,2.07912358807e-10
0.35,-1.9875,2.07409980019e-10
0.3625,-1.9875,2.06889863836e-10
0.375,-1.9875,2.06352076452e-10
0.3875,-1.9875,2.05796687848e-10
0.4,-1.9875,2.05223771909e-10
0.4125,-1.9875,2.04633406553e-10
0.425,-1.9875,2.04025673855e-10
0.4375,-1.9875,2.0340066016e-10
0.45,-1.9875,2.02758456212e-10
0.4625,-1.9875,2.02099157266e-10
0.475,-1.9875,2.0142286321e-10
0.4875,-1.9875,2.0072967867e-10
0.5,-1.9875,2.00019713126e-10
0.5125,-1.9875,1.9929308102e-10
0.525,-1.9875,1.98549901853e-10
0.5375,-1.9875,1.97790300287e-10
0.55,-1.9875,1.97014406239e-10
0.5625,-1.9875,1.9622235497e-10
0.575,-1.9875,1.95414287167e-10
0.5875,-1.9875,1.94590349022e-10
0.6,-1.9875,1.93750692303e-10
0.6125,-1.9875,1.92895474418e-10
0.625,-1.9875,1.92024858476e-10
