z,result
-2.0,-12.3351080016
-1.9,-19.4347518588
-1.8,-31.1670000779
-1.7,-50.95909552
-1.6,-85.1166453571
-1.5,-145.573453702
-1.4,-255.636948262
-1.3,-462.460356866
-1.2,-865.302779205
-1.1,-1682.73545264
-1.0,-3421.51283669
-0.9,-7328.57340841
-0.8,-16692.3087131
-0.7,-40920.3233642
-0.6,-109674.700541
-0.5,-327722.202587
-0.4,-1129061.57669
-0.3,-4692720.48211
-0.2,-25436081.7348
-0.1,-210409989.857
