z,layer
-1.0,-2.60907454399e-25
-0.9,-2.10143633168e-25
-0.8,-1.55428767435e-25
-0.7,-1.08836478294e-25
-0.6,-8.39896671409e-26
-0.5,-9.33337691603e-26
-0.4,-1.44980490619e-25
-0.3,-2.39937455116e-25
-0.2,-3.70708427903e-25
-0.1,-5.22043211156e-25
