z,layer
-1.0,-6.98527527553e-21
-0.9,-5.99376048669e-21
-0.8,-5.80287519913e-22
-0.7,1.56797776296e-20
-0.6,5.63669737852e-20
-0.5,1.4518408403e-19
-0.4,3.01567954454e-19
-0.3,4.74902014024e-19
-0.2,6.40429692348e-19
-0.1,1.7960605805e-18
0.0,nan
