z,layer
-1.0,8.21994704115e-20
-0.95,9.91594045048e-20
-0.9,1.1976202831e-19
-0.85,1.44702587186e-19
-0.8,1.74707712684e-19
-0.75,2.10433181809e-19
-0.7,2.5224573894e-19
-0.65,2.99843491973e-19
-0.6,3.51907679185e-19
-0.55,4.05642514889e-19
-0.5,4.53263159377e-19
-0.45,4.80602131961e-19
-0.4,4.66140759415e-19
-0.35,3.83831930747e-19
-0.3,2.17438082695e-19
-0.25,-2.95565250021e-20
-0.2,-3.20224154655e-19
-0.15,-6.03861810851e-19
-0.1,-8.16550009447e-19
-0.05,-5.74049274615e-19
