x,y,vertical,horizontal
-1.0,-2.0,-60737502006.81537,-70631892368.21574
-1.0,-1.9,-70563406657.91585,-76718629475.63657
-1.0,-1.8,-82240183173.79956,-83107789648.4857
-1.0,-1.7,-96130869359.22565,-89659915474.16481
-1.0,-1.6,-112655016480.09914,-96141583540.52905
-1.0,-1.5,-132283062938.51817,-102183001714.51175
-1.0,-1.4,-155516910162.87613,-107220641838.33452
-1.0,-1.3,-182846229711.4869,-110422699830.42401
-1.0,-1.2,-214664541604.68375,-110598238573.64433
-1.0,-1.1,-251122529121.46198,-106098317418.0792
-1.0,-1.0,-291890539941.48444,-94732563246.03117
-1.0,-0.9,-335803610493.544,-73751460905.29507
-1.0,-0.8,-380382996933.0505,-39985071379.523636
-1.0,-0.7,-421288762262.56024,9724590323.242382
-1.0,-0.6,-451881824601.01215,77638937112.76648
-1.0,-0.5,-463261059795.9137,163702392513.03888
-1.0,-0.4,-445309948515.2775,263776176297.92493
-1.0,-0.3,-389210780917.5369,368229957724.5607
-1.0,-0.2,-291248932195.54944,462124406031.899
-1.0,-0.1,-156503920408.73666,528130398923.7178
-0.9,-2.0,-60151435850.85387,-79843379574.82545
-0.9,-1.9,-70455707326.40216,-87727960469.49803
-0.9,-1.8,-82869934168.18674,-96296353609.77225
-0.9,-1.7,-97868514809.42006,-105484032105.1531
-0.9,-1.6,-116027221145.71884,-115137982526.63516
-0.9,-1.5,-138033770759.09863,-124965925205.73862
-0.9,-1.4,-164688315693.16284,-134461855251.38757
-0.9,-1.3,-196881701779.4936,-142799731790.8631
-0.9,-1.2,-235530212291.96136,-148687454878.231
-0.9,-1.1,-281431652265.08167,-150178203418.8379
-0.9,-1.0,-334989119484.96576,-144451687855.44412
-0.9,-0.9,-395730173502.4754,-127614132086.02962
-0.9,-0.8,-461546284179.4806,-94636879743.128
-0.9,-0.7,-527629117990.4372,-39669121519.74581
-0.9,-0.6,-585257240888.2339,42901881624.70634
-0.9,-0.5,-620971122687.877,156222805373.47864
-0.9,-0.4,-617243193093.7417,297472502019.2074
-0.9,-0.3,-556115031333.6157,454008184014.57477
-0.9,-0.2,-426483030446.9901,601748655264.4108
-0.9,-0.1,-232884294589.99768,709292380688.7803
-0.8,-2.0,-58432644030.469574,-89331182737.61607
-0.8,-1.9,-68984518781.95467,-99210972489.54915
-0.8,-1.8,-81865004700.19571,-110249351244.0548
-0.8,-1.7,-97660828618.36304,-122497906496.31891
-0.8,-1.6,-117113304968.48163,-135942414343.9666
-0.8,-1.5,-141152931601.48154,-150449689115.8997
-0.8,-1.4,-170933253006.27374,-165682637788.56485
-0.8,-1.3,-207853407564.1054,-180967356894.98608
-0.8,-1.2,-253546877018.87415,-195090600564.55368
-0.8,-1.1,-309792384793.07184,-206002421151.8996
-0.8,-1.0,-378266506630.6099,-210404422660.11014
-0.8,-0.9,-460002828924.3073,-203235695285.73846
-0.8,-0.8,-554357430034.965,-177159749950.45493
-0.8,-0.7,-657250618772.8188,-122360329341.92235
-0.8,-0.6,-758593862955.7262,-27320219500.922585
-0.8,-0.5,-839392558079.3826,118287415315.65059
-0.8,-0.4,-870361543273.3612,317395278085.667
-0.8,-0.3,-815764806153.3578,556313332218.7916
-0.8,-0.2,-646484705691.9045,797030711988.4021
-0.8,-0.1,-360851596177.0216,980755754136.5549
-0.7,-2.0,-55444329822.02512,-98856453560.81879
-0.7,-1.9,-65947203155.49785,-110877300162.39066
-0.7,-1.8,-78927119969.74387,-124618129637.55762
-0.7,-1.7,-95071048582.07521,-140291519636.54422
-0.7,-1.6,-115277014114.07668,-158089451763.92804
-0.7,-1.5,-140719444146.4885,-178138487997.58896
-0.7,-1.4,-172929808779.91797,-200419062377.793
-0.7,-1.3,-213888958514.06998,-224624646435.34848
-0.7,-1.2,-266116407153.7153,-249922386640.5552
-0.7,-1.1,-332716876805.9722,-274557467666.0112
-0.7,-1.0,-417292729314.51794,-295222604956.1552
-0.7,-0.9,-523531613240.18506,-306108114069.97205
-0.7,-0.8,-654107411441.0889,-297605931716.3823
-0.7,-0.7,-808291801121.8597,-254881121028.43912
-0.7,-0.6,-977497516262.9647,-157172474784.3185
-0.7,-0.5,-1138380285178.1326,20002283503.323475
-0.7,-0.4,-1245339105786.8257,295850555602.62524
-0.7,-0.3,-1229703508060.5242,664902272956.6501
-0.7,-0.2,-1019357823734.2241,1071744434772.3572
-0.7,-0.1,-586875708793.2585,1403572591825.9956
-0.6,-2.0,-51092322084.93749,-108129321126.5213
-0.6,-1.9,-61191367760.3813,-122360476702.84102
-0.6,-1.8,-73814608899.6511,-138940732038.97763
-0.6,-1.7,-89720904427.1194,-158286568438.64917
-0.6,-1.6,-109931561453.40114,-180864742301.0267
-0.6,-1.5,-135829359629.98915,-207170932187.26892
-0.6,-1.4,-169294675717.26923,-237676891838.81406
-0.6,-1.3,-212888751029.3431,-272717509471.1707
-0.6,-1.2,-270090174064.3128,-312266071124.3459
-0.6,-1.1,-345573845295.47156,-355506379837.0407
-0.6,-1.0,-445472802506.0524,-400046365597.79443
-0.6,-0.9,-577440365004.224,-440527099659.7846
-0.6,-0.8,-750050318173.9781,-466293197466.8307
-0.6,-0.7,-970502818182.765,-457846428775.63403
-0.6,-0.6,-1238639160397.6853,-382450123433.2822
-0.6,-0.5,-1534288425825.2217,-191551369967.65204
-0.6,-0.4,-1796275871277.551,171815275143.36398
-0.6,-0.3,-1901568863759.539,740006850598.5133
-0.6,-0.2,-1679102203040.593,1452005316836.5098
-0.6,-0.1,-1011594829630.0217,2091479146334.513
-0.5,-2.0,-45342647884.45264,-116820145997.6112
-0.5,-1.9,-54641446054.79559,-133230660715.79906
-0.5,-1.8,-66382586572.61776,-152654767528.5208
-0.5,-1.7,-81351190823.54884,-175746115230.9608
-0.5,-1.6,-100630337568.60301,-203303979341.9193
-0.5,-1.5,-125729981145.43555,-236292896286.1906
-0.5,-1.4,-158776731878.99484,-275847747445.45
-0.5,-1.3,-202793472684.4486,-323240027080.9365
-0.5,-1.2,-262108676451.1202,-379753959629.70886
-0.5,-1.1,-342943698631.1478,-446366510129.43665
-0.5,-1.0,-454216446185.7068,-523017319434.2586
-0.5,-0.9,-608523899379.2043,-607048783160.4995
-0.5,-0.8,-822993220348.158,-690033505416.4752
-0.5,-0.7,-1118895686515.0435,-751676868244.3328
-0.5,-0.6,-1516899779972.6562,-749138128706.0304
-0.5,-0.5,-2020577724380.4248,-601735646463.8926
-0.5,-0.4,-2574974821715.339,-180345394453.01126
-0.5,-0.3,-2991892059853.136,661245021420.5315
-0.5,-0.2,-2892876127117.734,1937331173578.639
