-0.5,-1.74020675477e-18,2.19667861948e-33,-9.17387675611e-19
-0.45,2.88143752334e-07,3.81702493663e-21,2.16386838878e-07
-0.4,6.26701750121e-18,1.26038174967e-31,5.92111273828e-18
-0.35,2.78972044569e-19,1.05680446581e-32,1.99831488884e-18
-0.3,7.64654189093e-19,1.13471755382e-32,2.19079289931e-18
-0.25,1.40802485907e-18,3.58391403303e-33,2.44516847676e-18
-0.2,2.10319527734e-18,-2.36274878794e-33,2.69517879311e-18
-0.15,2.84296717842e-18,-4.37282649543e-33,2.90585723157e-18
-0.1,3.08537511096e-18,4.86487079827e-33,2.86253743209e-18
-0.05,-1.77020854443e-17,7.51679119651e-33,-4.51335212234e-19
0.0,7.82407332115e-15,-9.82270402444e-32,3.23710857651e-32
